fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
fly_41	D. simulans	04	female	noni juice vs grape juice	noni_juice	117
fly_41	D. simulans	04	female	noni juice vs grape juice	grape_juice	519
fly_42	D. simulans	04	female	noni juice vs grape juice	noni_juice	97
fly_42	D. simulans	04	female	noni juice vs grape juice	grape_juice	321
fly_43	D. simulans	04	female	noni juice vs grape juice	noni_juice	93
fly_43	D. simulans	04	female	noni juice vs grape juice	grape_juice	494
fly_44	D. sechellia	07	female	noni juice vs grape juice	noni_juice	142
fly_44	D. sechellia	07	female	noni juice vs grape juice	grape_juice	370
fly_45	D. sechellia	07	female	noni juice vs grape juice	noni_juice	318
fly_45	D. sechellia	07	female	noni juice vs grape juice	grape_juice	335
fly_46	D. sechellia	07	female	noni juice vs grape juice	noni_juice	768
fly_46	D. sechellia	07	female	noni juice vs grape juice	grape_juice	239
fly_47	D. sechellia	07	female	noni juice vs grape juice	noni_juice	482
fly_47	D. sechellia	07	female	noni juice vs grape juice	grape_juice	375
fly_48	D. sechellia	07	female	noni juice vs grape juice	noni_juice	780
fly_48	D. sechellia	07	female	noni juice vs grape juice	grape_juice	621
fly_49	D. sechellia	07	female	noni juice vs grape juice	noni_juice	532
fly_49	D. sechellia	07	female	noni juice vs grape juice	grape_juice	362
fly_50	D. sechellia	07	female	noni juice vs grape juice	noni_juice	444
fly_50	D. sechellia	07	female	noni juice vs grape juice	grape_juice	352
fly_51	D. sechellia	07	female	noni juice vs grape juice	noni_juice	175
fly_51	D. sechellia	07	female	noni juice vs grape juice	grape_juice	705
fly_52	D. sechellia	07	female	noni juice vs grape juice	noni_juice	845
fly_52	D. sechellia	07	female	noni juice vs grape juice	grape_juice	224
fly_53	D. sechellia	07	female	noni juice vs grape juice	noni_juice	411
fly_53	D. sechellia	07	female	noni juice vs grape juice	grape_juice	343
fly_54	D. sechellia	07	female	noni juice vs grape juice	noni_juice	354
fly_54	D. sechellia	07	female	noni juice vs grape juice	grape_juice	320
fly_55	D. sechellia	07	female	noni juice vs grape juice	noni_juice	228
fly_55	D. sechellia	07	female	noni juice vs grape juice	grape_juice	491
fly_56	D. sechellia	07	female	noni juice vs grape juice	noni_juice	365
fly_56	D. sechellia	07	female	noni juice vs grape juice	grape_juice	515
fly_57	D. sechellia	07	male	noni juice vs grape juice	noni_juice	220
fly_57	D. sechellia	07	male	noni juice vs grape juice	grape_juice	70
fly_58	D. sechellia	07	male	noni juice vs grape juice	noni_juice	172
fly_58	D. sechellia	07	male	noni juice vs grape juice	grape_juice	149
fly_59	D. sechellia	07	male	noni juice vs grape juice	noni_juice	407
fly_59	D. sechellia	07	male	noni juice vs grape juice	grape_juice	151
fly_60	D. sechellia	07	male	noni juice vs grape juice	noni_juice	251
fly_60	D. sechellia	07	male	noni juice vs grape juice	grape_juice	150
fly_61	D. sechellia	07	male	noni juice vs grape juice	noni_juice	73
fly_61	D. sechellia	07	male	noni juice vs grape juice	grape_juice	90
fly_62	D. sechellia	07	male	noni juice vs grape juice	noni_juice	15
fly_62	D. sechellia	07	male	noni juice vs grape juice	grape_juice	52
fly_63	D. sechellia	07	male	noni juice vs grape juice	noni_juice	431
fly_63	D. sechellia	07	male	noni juice vs grape juice	grape_juice	35
fly_64	D. sechellia	07	male	noni juice vs grape juice	noni_juice	165
fly_64	D. sechellia	07	male	noni juice vs grape juice	grape_juice	216
fly_65	D. sechellia	07	male	noni juice vs grape juice	noni_juice	43
fly_65	D. sechellia	07	male	noni juice vs grape juice	grape_juice	211
fly_66	D. sechellia	07	male	noni juice vs grape juice	noni_juice	45
fly_66	D. sechellia	07	male	noni juice vs grape juice	grape_juice	57
fly_67	D. sechellia	07	male	noni juice vs grape juice	noni_juice	132
fly_67	D. sechellia	07	male	noni juice vs grape juice	grape_juice	256
fly_68	D. sechellia	07	male	noni juice vs grape juice	noni_juice	255
fly_68	D. sechellia	07	male	noni juice vs grape juice	grape_juice	210
fly_69	D. sechellia	07	male	noni juice vs grape juice	noni_juice	278
fly_69	D. sechellia	07	male	noni juice vs grape juice	grape_juice	25
fly_70	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
fly_70	D. sechellia	07	male	noni juice vs grape juice	grape_juice	181
fly_71	D. sechellia	07	male	noni juice vs grape juice	noni_juice	288
fly_71	D. sechellia	07	male	noni juice vs grape juice	grape_juice	173
fly_72	D. sechellia	07	male	noni juice vs grape juice	noni_juice	431
fly_72	D. sechellia	07	male	noni juice vs grape juice	grape_juice	225
fly_73	D. sechellia	07	male	noni juice vs grape juice	noni_juice	224
fly_73	D. sechellia	07	male	noni juice vs grape juice	grape_juice	409
fly_74	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	56
fly_74	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	867
fly_75	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	109
fly_75	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	642
fly_76	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	69
fly_76	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	313
fly_77	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	11
fly_77	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	268
fly_78	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	41
fly_78	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	872
fly_79	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	61
fly_79	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	307
fly_80	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	98
fly_80	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	747
fly_81	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	73
