date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
NA	fly_37	D. simulans	04	female	noni juice vs grape juice	grape_juice	208
NA	fly_38	D. simulans	04	female	noni juice vs grape juice	noni_juice	30
NA	fly_38	D. simulans	04	female	noni juice vs grape juice	grape_juice	252
NA	fly_39	D. simulans	04	female	noni juice vs grape juice	noni_juice	14
NA	fly_39	D. simulans	04	female	noni juice vs grape juice	grape_juice	737
NA	fly_40	D. simulans	04	female	noni juice vs grape juice	noni_juice	17
NA	fly_40	D. simulans	04	female	noni juice vs grape juice	grape_juice	416
NA	fly_41	D. simulans	04	female	noni juice vs grape juice	noni_juice	117
NA	fly_41	D. simulans	04	female	noni juice vs grape juice	grape_juice	519
NA	fly_42	D. simulans	04	female	noni juice vs grape juice	noni_juice	97
NA	fly_42	D. simulans	04	female	noni juice vs grape juice	grape_juice	321
NA	fly_43	D. simulans	04	female	noni juice vs grape juice	noni_juice	93
NA	fly_43	D. simulans	04	female	noni juice vs grape juice	grape_juice	494
NA	fly_44	D. sechellia	07	female	noni juice vs grape juice	noni_juice	142
NA	fly_44	D. sechellia	07	female	noni juice vs grape juice	grape_juice	370
NA	fly_45	D. sechellia	07	female	noni juice vs grape juice	noni_juice	318
NA	fly_45	D. sechellia	07	female	noni juice vs grape juice	grape_juice	335
NA	fly_46	D. sechellia	07	female	noni juice vs grape juice	noni_juice	768
NA	fly_46	D. sechellia	07	female	noni juice vs grape juice	grape_juice	239
NA	fly_47	D. sechellia	07	female	noni juice vs grape juice	noni_juice	482
NA	fly_47	D. sechellia	07	female	noni juice vs grape juice	grape_juice	375
NA	fly_48	D. sechellia	07	female	noni juice vs grape juice	noni_juice	780
NA	fly_48	D. sechellia	07	female	noni juice vs grape juice	grape_juice	621
NA	fly_49	D. sechellia	07	female	noni juice vs grape juice	noni_juice	532
NA	fly_49	D. sechellia	07	female	noni juice vs grape juice	grape_juice	362
NA	fly_50	D. sechellia	07	female	noni juice vs grape juice	noni_juice	444
