fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	1.6698572223294e-4
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	-0.00266015198011891
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	-0.02735325232245873
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	0.02218715590241491
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.04731239396960419
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.23349567792347448
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.1218490647870237
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.14883891399163812
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.05814146972923877
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.0484930589291787
fly_2	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.29405134089934964
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.15855443625367244
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.1258061026714103
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.01633009698868174
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.4383547452270499
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.17853741568575524
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.11502255752292186
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	-0.01895934653074383
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.34384247030394804
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.19481590068668328
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.13092032474014634
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	-0.01507389536233614
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.18589641867412507
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.02918504033660541
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.1399805986684014
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	-0.0109188596830953
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.12154429478717133
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.32079736781602
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.3208132136839834
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	-0.02067640616810494
fly_3	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.3847748347758273
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.10901249567361872
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.2185875527356802
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	water	0.2361799988248961
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.19309038976228068
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.0612346598019003
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.1827395849335013
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.0850209304027068
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.1516355854197136
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.14083025077458286
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.1414901823810869
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	0.01487759366829078
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.14996347624945375
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.09566921955112676
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.12693413604189055
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.08456967448981188
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.12980751549434355
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	0.01608465125886705
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.1409064587585727
